instrument_key,tradingsymbol,name,exchange
BSE_EQ|INE092E01011,KAKTEX,KAKATIYA TEXTILES LTD.,BSE_EQ
BSE_EQ|INE376L01013,RAJKSYN,RAJKAMAL SYNTHETICS LTD.,BSE_EQ
BSE_EQ|INE310A01015,NILKAMAL,NILKAMAL LTD.,BSE_EQ
NSE_EQ|INE869I01013,GTPL,GTPL HATHWAY LIMITED,NSE_EQ
BSE_EQ|INE966H01019,ZEEMEDIA,ZEE MEDIA CORPORATION LIMITED,BSE_EQ
NCD_FO|14277,GBPINR25DEC118.25PE,GBPINR,NCD_FO
BSE_EQ|INE124B01018,COSMOFE,COSMO FERRITES LTD.,BSE_EQ
BSE_EQ|INE533C01018,KJMCFIN,KJMC FINANCIAL SERVICES LTD.,BSE_EQ
NCD_FO|14276,GBPINR25DEC118.25CE,GBPINR,NCD_FO
BSE_EQ|INE347D01011,LERTHAI,LERTHAI FINANCE LIMITED,BSE_EQ
NSE_EQ|INE399C01030,SUPRAJIT,SUPRAJIT ENGINEERING LTD,NSE_EQ
NSE_EQ|INE0MJQ01020,PRITIKA,PRITIKA ENG COMPO LTD,NSE_EQ
BSE_EQ|INE493N01012,HARIAAPL,HARIA APPARELS LTD,BSE_EQ
BSE_EQ|INE0KGZ01021,SIGNPOST,Signpost India Limited,BSE_EQ
BSE_EQ|INE055E01034,REALECO,REAL ECO-ENERGY LIMITED,BSE_EQ
NSE_EQ|INE0LLY01014,EIEL,ENVIRO INFRA ENGINEERS L,NSE_EQ
NSE_EQ|INE0J1E01027,KCK,KCK INDUSTRIES LTD,NSE_EQ
BSE_EQ|INE868C01018,AHMDSTE,AHMEDABAD STEELCRAFT LTD.,BSE_EQ
NSE_EQ|INE176A01028,BATAINDIA,BATA INDIA LTD,NSE_EQ
BSE_EQ|INE998D01011,JAYBHCR,JAYABHARAT CREDIT LTD.,BSE_EQ
NSE_EQ|INE585B01010,MARUTI,MARUTI SUZUKI INDIA LTD.,NSE_EQ
BSE_EQ|INE0AE001013,VPRPL,VISHNU PRAKASH R PUNGLIA LIMIT,BSE_EQ
BSE_EQ|INE474Q01031,MEDANTA,Global Health Limited,BSE_EQ
BSE_EQ|INE0QXT01018,SAI,Sai Swami Metals and Alloys Li,BSE_EQ
NCD_FO|14212,GBPINR25SEP100.25CE,GBPINR,NCD_FO
NCD_FO|14213,GBPINR25SEP100.25PE,GBPINR,NCD_FO
NSE_FO|50975,BAJAJ-AUTO25JUL6800CE,BAJAJ AUTO LIMITED,NSE_FO
NSE_EQ|INE319B01014,BYKE,THE BYKE HOSPITALITY LTD,NSE_EQ
NSE_FO|50977,BAJAJ-AUTO25JUL6800PE,BAJAJ AUTO LIMITED,NSE_FO
BSE_EQ|INE918C01029,GILADAFINS,Gilada Finance & Investments L,BSE_EQ
BSE_EQ|INE416A01044,SABTNL,SRI ADHIKARI BROTHERS TELEVISI,BSE_EQ
BSE_EQ|IN9397D01014,AIRTELPP,Bharti Airtel  Ltd.,BSE_EQ
NCD_FO|14208,GBPINR25SEP99.75CE,GBPINR,NCD_FO
NCD_FO|14209,GBPINR25SEP99.75PE,GBPINR,NCD_FO
NSE_EQ|INE139A01034,NATIONALUM,NATIONAL ALUMINIUM CO LTD,NSE_EQ
BSE_INDEX|SMLCAP,SMLCAP,BSE SMALLCAP,BSE_INDEX
NSE_FO|50990,BAJAJ-AUTO25JUL7300CE,BAJAJ AUTO LIMITED,NSE_FO
NSE_FO|50991,BAJAJ-AUTO25JUL7300PE,BAJAJ AUTO LIMITED,NSE_FO
NSE_FO|50992,BAJAJ-AUTO25JUL7400CE,BAJAJ AUTO LIMITED,NSE_FO
NSE_FO|50993,BAJAJ-AUTO25JUL7400PE,BAJAJ AUTO LIMITED,NSE_FO
NSE_FO|50994,BAJAJ-AUTO25JUL7500CE,BAJAJ AUTO LIMITED,NSE_FO
BSE_EQ|INE838Z01012,PALMJEWELS,Palm Jewels Limited,BSE_EQ
NSE_FO|50995,BAJAJ-AUTO25JUL7500PE,BAJAJ AUTO LIMITED,NSE_FO
NSE_FO|50996,BAJAJ-AUTO25JUL7600CE,BAJAJ AUTO LIMITED,NSE_FO
NSE_FO|50997,BAJAJ-AUTO25JUL7600PE,BAJAJ AUTO LIMITED,NSE_FO
NSE_FO|50998,BAJAJ-AUTO25JUL7700CE,BAJAJ AUTO LIMITED,NSE_FO
NSE_FO|50999,BAJAJ-AUTO25JUL7700PE,BAJAJ AUTO LIMITED,NSE_FO
BSE_EQ|INE456N01019,COMCL,COMFORT COMMOTRADE LTD.,BSE_EQ
BSE_EQ|INE639C01013,RAJPACK,RAJ PACKAGING INDUSTRIES LTD.,BSE_EQ
NSE_FO|50983,BAJAJ-AUTO25JUL7000CE,BAJAJ AUTO LIMITED,NSE_FO
NSE_FO|50985,BAJAJ-AUTO25JUL7000PE,BAJAJ AUTO LIMITED,NSE_FO
NSE_EQ|INE064C01022,TRIDENT,TRIDENT LIMITED,NSE_EQ
NSE_FO|50988,BAJAJ-AUTO25JUL7200CE,BAJAJ AUTO LIMITED,NSE_FO
NSE_FO|50989,BAJAJ-AUTO25JUL7200PE,BAJAJ AUTO LIMITED,NSE_FO
BSE_EQ|INE721U01011,ZHEMHOLD,HEM HOLDINGS & TRADING LTD.,BSE_EQ
NSE_EQ|INE912H01013,MBLINFRA,MBL INFRASTRUCTURE LTD,NSE_EQ
NSE_EQ|INE763I01026,TARIL,TRANS & RECTI. LTD,NSE_EQ
NSE_EQ|INE875G01048,NDL,NANDAN DENIM LIMITED,NSE_EQ
BSE_EQ|INE278G01037,CYBERMEDIA,CYBER MEDIA (INDIA) LTD.,BSE_EQ
BSE_EQ|INE766P01016,MAHLOG,Mahindra Logistics Limited,BSE_EQ
BSE_EQ|INE706F01021,SYLPH,SYLPH TECHNOLOGIES LTD.,BSE_EQ
BSE_EQ|INE427F01016,CHALET,Chalet Hotels Limited,BSE_EQ
BSE_EQ|INE018E01016,SBICARD,SBI CARDS AND PAYMENT SERVICES,BSE_EQ
BSE_EQ|INE384D01022,SANPA,SANGAL PAPERS LTD.,BSE_EQ
BSE_EQ|INE400N01017,SHGANEL,SHREE GANESH ELASTOPLAST LTD.,BSE_EQ
BSE_EQ|INE608A01012,PSB,PUNJAB & SIND BANK,BSE_EQ
NSE_EQ|INE919I01024,RADIOCITY,MUSIC BROADCAST LIMITED,NSE_EQ
MCX_FO|457049,ZINC25AUG257.5PE,ZINC,MCX_FO
MCX_FO|457046,ZINC25AUG232.5PE,ZINC,MCX_FO
MCX_FO|457047,ZINC25AUG252.5PE,ZINC,MCX_FO
MCX_FO|457044,ZINC25AUG237.5PE,ZINC,MCX_FO
MCX_FO|457042,ZINC25AUG242.5PE,ZINC,MCX_FO
MCX_FO|457040,ZINC25AUG247.5PE,ZINC,MCX_FO
NSE_EQ|INE314T01025,GOKULAGRO,GOKUL AGRO RESOURCES LTD,NSE_EQ
MCX_FO|457037,ZINC25AUG267.5CE,ZINC,MCX_FO
MCX_FO|457035,ZINC25AUG262.5CE,ZINC,MCX_FO
MCX_FO|457033,ZINC25AUG257.5CE,ZINC,MCX_FO
MCX_FO|457031,ZINC25AUG252.5CE,ZINC,MCX_FO
MCX_FO|457030,ZINC25AUG232.5CE,ZINC,MCX_FO
NSE_EQ|INE285K01026,TECHNOE,TECHNO ELEC & ENG CO. LTD,NSE_EQ
BSE_EQ|INE769D01016,REGENTRP,Regent Enterprises Limited,BSE_EQ
BCD_FO|2145045,EURINR26MAR104.25PE,EURINR,BCD_FO
NSE_EQ|INE256C01024,TRIVENI,TRIVENI ENGG. & INDS. LTD,NSE_EQ
BSE_EQ|INE977M01024,PHOENIXTN,PHOENIX TOWNSHIP LTD,BSE_EQ
BCD_FO|2145050,EURINR26MAR104.25CE,EURINR,BCD_FO
MCX_FO|457053,ZINC25AUG267.5PE,ZINC,MCX_FO
MCX_FO|457051,ZINC25AUG262.5PE,ZINC,MCX_FO
NSE_EQ|INE0TO501019,HVAX,HVAX TECHNOLOGIES LIMITED,NSE_EQ
BSE_EQ|INE204D01022,VENLONENT,VENLON ENTERPRISES LTD.,BSE_EQ
